account_id,segment,industry,plan_core,addon_finance_active,months_since_finance_activation,invoices_issued_count,nf_issued_count,ap_bills_created,ar_bills_created,bank_reconciliations_run,auto_rules_configured,finance_users_active,logins_total,finance_module_sessions,finance_related_tickets,avg_resolution_time_finance_tickets_min,ticket_topic_top,finance_addon_churned,account_total_churned,nps_finance,mrr_finance,os,browser
ACC-10069,SMB,Indústria,Starter,false,12,4,1,4,3,4,1,1,5,3,0,0,Integração bancária,false,false,4,89.85,Mac,Firefox
ACC-10070,SMB,Varejo,Starter,true,19,1,1,4,3,4,2,2,14,3,0,48,Dúvida de configuração,true,false,1,3.58,Windows,Edge
ACC-10071,Enterprise,Serviços,Enterprise,true,3,6,1,3,1,1,0,1,7,3,3,23,Erro NF-e,false,false,1,127.18,Mac,Chrome
ACC-10072,Mid-market,SaaS,Starter,true,3,4,1,3,3,3,0,2,8,7,1,39,Erro NF-e,false,false,10,66.30,Windows,Chrome
ACC-10073,SMB,Varejo,Starter,true,4,5,0,5,1,4,5,3,6,4,0,43,Integração bancária,false,false,9,58.70,Windows,Chrome
ACC-10074,SMB,Varejo,Starter,true,1,7,2,3,3,1,2,1,8,9,3,17,Bug de fatura,false,false,4,95.71,Windows,Firefox
ACC-10075,SMB,Serviços,Starter,false,0,2,1,4,6,0,3,2,10,11,0,25,Integração bancária,false,false,9,165.41,Windows,Chrome
ACC-10076,Mid-market,Varejo,Starter,true,6,8,2,5,6,2,0,1,5,3,0,60,Integração bancária,false,false,0,113.64,Linux,Chrome
ACC-10077,SMB,Serviços,Starter,false,11,2,0,3,8,5,3,0,7,5,1,40,Erro NF-e,false,false,10,12.50,Windows,Chrome
ACC-10078,SMB,SaaS,Pro,false,17,2,0,1,4,1,2,0,5,5,1,27,Dúvida de configuração,false,true,7,163.00,Windows,Edge
ACC-10079,Mid-market,SaaS,Starter,false,23,5,0,1,5,3,1,2,10,9,0,30,Suporte geral,false,false,9,139.99,Windows,Chrome
ACC-10080,SMB,Serviços,Starter,true,23,6,1,2,4,0,1,2,10,2,1,44,Erro NF-e,false,false,10,90.16,Windows,Chrome
ACC-10081,SMB,Serviços,Pro,false,3,5,2,2,5,0,3,2,10,11,2,26,Dúvida de configuração,false,false,10,157.61,Windows,Chrome
ACC-10082,SMB,Serviços,Enterprise,true,15,9,2,8,3,3,2,4,10,6,1,45,Erro NF-e,false,false,9,102.99,Windows,Edge
ACC-10083,Mid-market,Varejo,Pro,false,12,7,2,2,6,0,2,2,11,7,0,38,Erro NF-e,false,false,1,154.04,Windows,Chrome
ACC-10084,SMB,Varejo,Starter,true,0,4,6,3,6,1,0,0,3,5,0,39,Dúvida de configuração,false,false,3,135.69,Windows,Safari
ACC-10085,SMB,Varejo,Starter,false,22,10,4,4,6,1,0,4,11,3,2,31,Erro NF-e,false,false,0,12.70,Windows,Safari
ACC-10086,SMB,Varejo,Starter,false,9,7,1,3,2,1,0,2,4,2,5,27,Dúvida de configuração,true,true,7,146.04,Linux,Safari
ACC-10087,Enterprise,SaaS,Starter,true,17,2,3,2,5,1,0,0,14,5,2,33,Erro NF-e,false,false,9,89.37,Windows,Firefox
ACC-10088,SMB,SaaS,Starter,true,0,4,3,1,1,2,1,1,11,2,0,7,Integração bancária,false,false,8,183.15,Windows,Chrome
ACC-10089,Mid-market,Serviços,Pro,true,22,4,1,1,3,3,1,2,8,2,2,34,Dúvida de configuração,false,false,2,25.87,Windows,Chrome
ACC-10090,SMB,Varejo,Pro,true,2,2,0,5,5,1,1,1,10,7,1,32,Integração bancária,false,false,4,189.19,Windows,Chrome
ACC-10091,Mid-market,Varejo,Enterprise,true,23,3,4,4,5,2,0,0,15,5,1,29,Dúvida de configuração,true,false,8,96.89,Mac,Firefox
ACC-10092,Enterprise,Varejo,Pro,true,14,3,2,3,4,4,1,1,8,8,1,68,Dúvida de configuração,false,false,5,120.26,Windows,Chrome
ACC-10093,Enterprise,Varejo,Enterprise,true,8,7,4,2,3,3,1,4,5,4,3,26,Suporte geral,false,false,0,74.19,Mac,Chrome
ACC-10094,SMB,Varejo,Starter,false,3,7,3,2,1,1,2,1,9,6,1,10,Bug de fatura,false,false,9,72.82,Mac,Edge
ACC-10095,Mid-market,Varejo,Starter,false,3,5,3,2,4,1,0,2,10,5,0,44,Bug de fatura,false,false,10,46.68,Linux,Chrome
ACC-10096,SMB,Varejo,Starter,false,0,3,1,4,3,5,1,4,7,6,1,8,Erro NF-e,true,false,4,79.31,Windows,Edge
ACC-10097,SMB,Varejo,Pro,true,4,7,3,2,2,1,3,1,8,1,2,21,Integração bancária,true,false,9,102.79,Windows,Edge
ACC-10098,SMB,Serviços,Starter,true,14,9,2,4,5,2,2,1,7,4,0,18,Erro NF-e,false,false,5,135.06,Mac,Firefox
ACC-10099,Mid-market,Serviços,Starter,false,21,6,3,4,1,1,2,0,18,4,5,30,Bug de fatura,false,false,8,0.00,Windows,Firefox
ACC-10100,SMB,Varejo,Enterprise,false,23,3,6,1,7,0,0,2,14,8,2,13,Dúvida de configuração,false,false,1,49.22,Mac,Chrome
ACC-10101,SMB,Varejo,Starter,false,17,6,1,5,0,2,1,3,14,2,3,13,Integração bancária,false,false,1,163.92,Mac,Chrome
ACC-10102,Mid-market,SaaS,Starter,false,9,4,2,4,3,3,1,3,8,4,1,39,Erro NF-e,false,false,6,35.37,Linux,Chrome
ACC-10103,SMB,Serviços,Starter,false,4,7,3,3,7,0,2,4,5,4,0,14,Suporte geral,false,false,3,116.10,Windows,Chrome
ACC-10104,Mid-market,Serviços,Pro,false,0,3,1,5,3,3,1,1,11,5,1,50,Erro NF-e,false,false,1,140.76,Windows,Chrome
ACC-10105,SMB,SaaS,Enterprise,true,12,3,2,4,5,3,0,3,9,2,1,42,Bug de fatura,false,false,10,131.27,Windows,Safari
ACC-10106,SMB,SaaS,Starter,false,10,4,2,4,3,2,1,0,9,2,1,30,Integração bancária,false,false,8,145.16,Windows,Chrome
ACC-10107,SMB,Varejo,Starter,false,18,3,5,3,0,1,0,1,15,3,0,61,Integração bancária,false,false,8,0.00,Windows,Firefox
ACC-10108,SMB,Serviços,Starter,true,15,7,1,3,2,2,1,0,8,5,0,27,Erro NF-e,false,false,8,119.25,Windows,Firefox
ACC-10109,SMB,Serviços,Enterprise,false,7,8,3,3,1,4,1,2,10,2,0,48,Integração bancária,false,true,7,140.08,Windows,Chrome
ACC-10110,Enterprise,Varejo,Pro,false,3,4,1,3,5,2,0,4,9,6,1,51,Bug de fatura,false,false,6,118.77,Mac,Chrome
ACC-10111,Mid-market,Varejo,Pro,false,18,7,3,5,4,4,0,1,9,5,2,30,Dúvida de configuração,false,false,0,129.38,Windows,Firefox
ACC-10112,Mid-market,SaaS,Pro,true,2,11,3,3,7,2,2,2,6,5,1,17,Erro NF-e,false,false,5,153.22,Windows,Firefox
ACC-10113,SMB,Varejo,Starter,false,5,6,3,4,3,3,0,1,5,2,2,42,Integração bancária,false,false,4,23.50,Mac,Chrome
ACC-10114,Enterprise,SaaS,Starter,true,6,5,3,3,6,0,1,1,5,3,2,42,Bug de fatura,false,false,5,95.19,Windows,Edge
ACC-10115,Enterprise,Indústria,Starter,false,12,2,1,2,4,4,0,3,10,4,0,2,Bug de fatura,false,false,7,82.59,Windows,Chrome
ACC-10116,SMB,Varejo,Enterprise,true,23,5,2,3,5,3,0,6,10,5,3,35,Erro NF-e,false,false,1,131.47,Windows,Chrome
ACC-10117,SMB,Varejo,Starter,false,0,5,9,3,2,3,2,1,15,5,3,30,Integração bancária,true,false,4,58.78,Windows,Chrome
ACC-10118,Mid-market,Serviços,Pro,false,19,2,0,4,3,1,1,2,7,3,0,26,Dúvida de configuração,false,false,0,33.67,Windows,Firefox
ACC-10119,SMB,Varejo,Starter,false,0,4,2,2,2,3,2,2,11,6,1,5,Erro NF-e,false,false,6,85.27,Linux,Chrome
ACC-10120,SMB,Serviços,Pro,false,4,9,1,4,4,1,1,1,16,5,0,29,Integração bancária,false,false,4,78.88,Windows,Chrome
ACC-10121,Enterprise,Serviços,Starter,false,18,10,3,1,3,0,1,1,13,8,1,36,Bug de fatura,false,true,1,84.00,Mac,Chrome
ACC-10122,Mid-market,Serviços,Pro,true,9,6,3,0,6,3,1,3,7,4,2,46,Erro NF-e,false,false,4,88.65,Windows,Chrome
ACC-10123,SMB,SaaS,Starter,true,17,5,2,7,3,3,5,0,11,5,1,46,Integração bancária,false,false,0,103.06,Windows,Chrome
ACC-10124,SMB,Serviços,Enterprise,false,16,5,3,7,6,2,0,1,6,6,0,18,Erro NF-e,false,false,4,123.89,Linux,Safari
ACC-10125,Enterprise,Serviços,Pro,true,13,3,3,0,1,5,2,1,12,3,2,31,Erro NF-e,false,false,10,24.09,Windows,Chrome
ACC-10126,SMB,Serviços,Starter,true,22,6,0,3,9,0,2,4,10,5,3,31,Erro NF-e,false,false,2,97.45,Linux,Chrome
ACC-10127,SMB,SaaS,Enterprise,false,9,6,3,4,4,3,0,2,12,3,0,36,Integração bancária,false,false,9,147.40,Windows,Chrome
ACC-10128,Enterprise,Varejo,Pro,false,17,2,3,3,2,0,0,3,12,2,1,48,Erro NF-e,true,false,8,84.75,Linux,Edge
ACC-10129,SMB,Indústria,Starter,false,5,2,0,2,3,0,0,0,11,4,2,29,Dúvida de configuração,false,false,10,145.95,Mac,Chrome
ACC-10130,SMB,Serviços,Pro,false,12,4,3,1,4,4,2,5,13,7,0,9,Dúvida de configuração,false,false,4,168.86,Mac,Firefox
ACC-10131,SMB,Varejo,Enterprise,false,1,5,1,3,1,3,1,3,8,7,2,25,Integração bancária,false,false,7,99.81,Windows,Firefox
ACC-10132,SMB,Varejo,Starter,true,1,7,3,2,8,2,0,1,12,6,2,25,Dúvida de configuração,false,false,6,162.49,Windows,Chrome
ACC-10133,SMB,Serviços,Starter,true,11,4,2,3,4,2,2,1,7,7,1,41,Suporte geral,true,false,10,91.43,Windows,Chrome
ACC-10134,SMB,Serviços,Starter,false,18,2,0,3,4,3,0,2,8,5,1,24,Integração bancária,false,false,2,57.73,Windows,Chrome
ACC-10135,SMB,Serviços,Starter,true,19,8,2,2,7,6,2,4,14,4,1,10,Integração bancária,true,true,6,0.00,Windows,Firefox
ACC-10136,SMB,SaaS,Starter,false,15,7,1,3,1,4,1,1,11,2,0,22,Erro NF-e,false,false,8,145.11,Windows,Chrome
ACC-10137,SMB,Varejo,Enterprise,false,20,5,2,3,6,1,5,2,8,4,0,20,Erro NF-e,false,false,6,187.45,Windows,Chrome
ACC-10138,SMB,Serviços,Starter,true,8,4,0,3,4,0,1,1,8,4,0,42,Erro NF-e,false,false,1,133.36,Windows,Chrome
ACC-10139,Mid-market,Serviços,Pro,false,17,7,2,5,4,2,2,0,9,9,1,25,Dúvida de configuração,false,false,1,45.51,Windows,Chrome
ACC-10140,SMB,Varejo,Starter,false,7,1,3,2,4,0,0,1,7,3,2,50,Dúvida de configuração,false,false,2,38.41,Mac,Firefox
ACC-10141,Mid-market,Varejo,Enterprise,true,5,6,1,1,2,2,3,6,7,4,0,9,Integração bancária,false,false,2,113.64,Windows,Firefox
ACC-10142,SMB,Serviços,Starter,false,21,2,3,2,5,6,2,1,4,6,0,32,Erro NF-e,false,false,9,55.43,Mac,Chrome
ACC-10143,Mid-market,Varejo,Starter,false,17,3,3,4,3,1,0,0,8,4,2,8,Integração bancária,false,false,9,118.96,Mac,Chrome
ACC-10144,Enterprise,SaaS,Starter,false,23,4,3,1,8,3,1,2,12,4,0,54,Bug de fatura,true,false,3,163.12,Windows,Chrome
ACC-10145,SMB,Serviços,Pro,false,8,6,1,3,2,0,1,3,12,4,0,12,Suporte geral,true,false,5,79.80,Windows,Chrome
ACC-10146,Mid-market,Serviços,Starter,false,0,4,2,4,3,6,0,3,8,6,0,47,Dúvida de configuração,true,false,7,91.11,Windows,Chrome
ACC-10147,SMB,Indústria,Starter,true,5,4,1,2,7,1,2,0,4,11,0,34,Erro NF-e,false,false,6,147.45,Windows,Chrome
ACC-10148,SMB,Serviços,Starter,false,21,6,0,2,3,4,0,1,10,10,2,30,Erro NF-e,false,false,6,151.57,Windows,Chrome
ACC-10149,Enterprise,Varejo,Pro,true,5,6,2,3,2,1,1,3,6,3,1,32,Dúvida de configuração,false,false,5,132.61,Windows,Chrome
ACC-10150,SMB,Indústria,Starter,true,6,8,0,3,6,4,2,3,13,4,0,25,Bug de fatura,false,false,10,63.83,Windows,Safari
ACC-10151,SMB,Varejo,Pro,true,4,4,3,4,5,2,1,1,7,6,0,35,Erro NF-e,false,false,1,117.16,Windows,Chrome
ACC-10152,SMB,Varejo,Starter,true,19,6,2,0,3,2,0,2,13,5,3,49,Integração bancária,false,false,4,7.68,Windows,Chrome
ACC-10153,SMB,SaaS,Enterprise,false,3,1,3,1,5,0,1,1,13,7,2,0,Integração bancária,false,false,1,112.58,Mac,Chrome
ACC-10154,SMB,Serviços,Enterprise,true,5,6,3,2,3,2,1,0,13,4,1,32,Bug de fatura,false,false,4,74.41,Windows,Firefox
ACC-10155,SMB,SaaS,Starter,true,5,5,1,3,4,3,2,3,7,5,1,14,Integração bancária,false,false,0,87.11,Mac,Chrome
ACC-10156,Enterprise,Varejo,Starter,false,7,3,1,1,5,2,0,0,16,6,0,53,Integração bancária,false,false,9,99.86,Mac,Chrome
ACC-10157,SMB,SaaS,Enterprise,true,8,6,4,3,4,2,2,2,16,2,1,14,Dúvida de configuração,false,false,6,0.00,Windows,Chrome
ACC-10158,SMB,Serviços,Enterprise,true,8,2,5,1,4,5,1,3,8,2,0,30,Bug de fatura,true,false,9,190.35,Windows,Safari
ACC-10159,SMB,Serviços,Starter,true,18,4,3,1,3,1,0,4,12,7,1,35,Integração bancária,true,false,7,107.79,Mac,Chrome
ACC-10160,SMB,Varejo,Starter,false,2,3,4,2,5,3,1,3,9,3,2,0,Integração bancária,true,false,6,62.21,Mac,Chrome
ACC-10161,SMB,Serviços,Starter,true,8,7,7,5,4,4,0,2,6,3,1,41,Erro NF-e,false,false,3,134.12,Mac,Chrome
ACC-10162,SMB,Varejo,Starter,true,11,4,3,3,3,1,0,0,8,5,2,54,Dúvida de configuração,false,false,4,132.13,Windows,Safari
ACC-10163,SMB,Varejo,Starter,true,18,9,1,3,7,2,1,3,12,6,0,19,Bug de fatura,false,false,4,137.64,Windows,Chrome
ACC-10164,SMB,Serviços,Starter,false,16,5,1,2,2,0,0,0,13,3,1,52,Bug de fatura,true,false,10,118.94,Mac,Chrome
ACC-10165,Mid-market,Serviços,Pro,true,0,4,0,3,3,4,2,1,8,8,1,30,Erro NF-e,true,false,5,127.08,Linux,Chrome
ACC-10166,Mid-market,Serviços,Enterprise,false,22,5,2,2,6,0,1,0,12,5,2,28,Erro NF-e,false,false,4,135.16,Linux,Firefox
ACC-10167,SMB,Varejo,Pro,false,11,4,1,5,4,5,1,2,12,6,1,35,Dúvida de configuração,false,false,1,20.69,Windows,Firefox
ACC-10168,SMB,Serviços,Starter,true,12,2,2,0,2,5,2,2,5,9,1,51,Erro NF-e,true,false,3,52.62,Windows,Chrome
ACC-10169,Mid-market,Varejo,Enterprise,false,11,1,1,4,4,1,2,2,11,4,0,29,Integração bancária,false,false,4,89.98,Mac,Chrome
ACC-10170,SMB,Indústria,Starter,false,5,3,3,1,5,2,2,3,10,7,2,27,Erro NF-e,true,false,6,93.86,Windows,Edge
ACC-10171,SMB,Varejo,Starter,false,7,9,4,4,6,2,1,3,7,8,1,49,Integração bancária,false,false,3,54.86,Windows,Chrome
ACC-10172,Mid-market,Serviços,Pro,false,3,4,1,2,4,0,1,0,6,5,0,26,Dúvida de configuração,false,false,6,126.63,Windows,Chrome
ACC-10173,SMB,Varejo,Pro,true,23,7,3,2,4,0,0,2,6,5,1,33,Suporte geral,false,false,5,76.15,Windows,Chrome
ACC-10174,Mid-market,Serviços,Enterprise,false,14,11,2,1,3,3,1,2,10,5,1,10,Erro NF-e,false,false,8,66.42,Windows,Safari
ACC-10175,SMB,Serviços,Starter,false,9,2,3,2,3,4,3,3,13,7,3,21,Integração bancária,false,true,8,67.87,Mac,Chrome
ACC-10176,Mid-market,Indústria,Pro,false,17,7,3,2,6,2,2,2,16,2,0,35,Dúvida de configuração,false,false,8,148.21,Windows,Chrome
ACC-10177,Mid-market,Serviços,Starter,false,2,7,1,4,4,1,0,4,13,6,0,28,Bug de fatura,false,false,3,95.16,Linux,Firefox
ACC-10178,SMB,Varejo,Pro,false,4,8,2,1,5,0,1,2,8,5,1,24,Integração bancária,false,false,10,57.69,Windows,Chrome
ACC-10179,Mid-market,Serviços,Pro,false,16,3,2,3,2,2,3,5,4,6,1,45,Integração bancária,false,false,9,122.52,Windows,Chrome
ACC-10180,SMB,Varejo,Starter,false,20,3,0,1,5,1,0,1,10,3,2,57,Erro NF-e,false,true,4,154.78,Windows,Safari
ACC-10181,SMB,Varejo,Pro,false,21,6,2,1,3,3,2,1,12,7,1,16,Integração bancária,false,false,9,152.33,Mac,Firefox
ACC-10182,Mid-market,Varejo,Starter,true,22,5,2,1,6,3,2,6,9,2,2,23,Erro NF-e,false,false,2,107.82,Mac,Firefox
ACC-10183,Enterprise,Varejo,Starter,true,5,4,3,1,5,3,0,2,9,6,0,43,Erro NF-e,false,false,1,130.14,Windows,Chrome
